feature_id	best_auprc	best_annot	mean_auprc_all	n_annots_above_03	n_annots_above_05	feat_mean_act	feat_variance	mystery_score
12	0.1633324697613716	Mutagenesis	0.1633324697613716	0	0	1.8248140301421576e-07	1.2946104813817885e-07	0.8366675302386284
680	0.1638033390045166	Transmembrane: Helical	0.1638033390045166	0	0	2.2074256070164895e-07	2.7079098347804864e-07	0.8361966609954834
10798	0.16457316279411316	Topological domain: Periplasmic	0.16457316279411316	0	0	6.934124595274372e-09	1.5364155340968094e-09	0.8354268372058868
113	0.16565003991127014	Helix	0.16565003991127014	0	0	3.574984691743405e-08	2.0408877430416154e-08	0.8343499600887299
11309	0.1656561642885208	Turn	0.1656561642885208	0	0	1.8127985684888898e-07	5.1832112328814504e-08	0.8343438357114792
2972	0.16691212356090546	Turn	0.16691212356090546	0	0	4.375765457587952e-06	2.5721260652439462e-06	0.8330878764390945
2385	0.16847225030263266	Domain: Helicase C-terminal	0.16847225030263266	0	0	1.5274880517896555e-06	5.686361796882102e-07	0.8315277496973673
8696	0.1692328155040741	Compositional bias: Basic residues	0.15822686006625492	0	0	3.7361428212325e-07	2.5799587711507285e-07	0.8307671844959259
12998	0.1718333512544632	Domain: SH3 1	0.1718333512544632	0	0	3.731522350388115e-08	1.682736925914329e-08	0.8281666487455368
16065	0.17184998095035553	Region: Disordered	0.13697391748428345	0	0	4.2027990241778495e-08	3.3330994434833714e-08	0.8281500190496445
4005	0.17184998095035553	Region: Disordered	0.13697391748428345	0	0	7.869064087861146e-07	4.1884999198897983e-07	0.8281500190496445
13321	0.17184998095035553	Region: Disordered	0.13697391748428345	0	0	3.4844400361867814e-08	2.2910629167204403e-08	0.8281500190496445
4952	0.17326918244361877	Domain: SH3 1	0.17326918244361877	0	0	5.683160136301906e-08	1.7637618543509202e-08	0.8267308175563812
14604	0.17620813474059105	Mutagenesis	0.08325219289199262	0	0	7.03486917237753e-06	5.8443152945785895e-06	0.823791865259409
13367	0.1763356775045395	Transmembrane: Helical; Name=2	0.1763356775045395	0	0	2.2532807716298523e-08	1.3052584508092319e-08	0.8236643224954605
15612	0.17685134708881378	Beta strand	0.1606506733223796	0	0	4.1977709826715885e-06	1.595733775513765e-06	0.8231486529111862
10655	0.1770012229681015	Mutagenesis	0.1770012229681015	0	0	7.221178508283011e-07	3.258732874762555e-07	0.8229987770318985
10155	0.1770813763141632	Turn	0.1770813763141632	0	0	6.845071275455984e-08	2.3381438086953828e-08	0.8229186236858368
13570	0.17826686799526215	Domain: EF-hand 3	0.15135154500603676	0	0	2.1456831970510722e-07	8.560394693267598e-08	0.8217331320047379
2237	0.179564967751503	Beta strand	0.14107193859914938	0	0	4.1707394401645544e-07	1.5618309249910657e-07	0.820435032248497
8344	0.18239497020840645	Region: Disordered	0.15439227844278017	0	0	5.957886922422646e-07	4.1219214590932157e-07	0.8176050297915936
14140	0.18518266081809998	Domain: EF-hand 1	0.16837619245052338	0	0	7.190860438753702e-08	2.8151272589537008e-08	0.8148173391819
5175	0.1854033569494883	Beta strand	0.1854033569494883	0	0	9.773868765773165e-07	4.6419068835885105e-07	0.8145966430505117
16357	0.18685107264253828	Beta strand	0.16481905596123803	0	0	7.53390834435447e-07	2.1685453561551814e-07	0.8131489273574617
5008	0.18715767562389374	DNA binding: Homeobox	0.18715767562389374	0	0	6.860717893775757e-08	3.149736417955575e-08	0.8128423243761063
13903	0.18763191998004913	Helix	0.15158002823591232	0	0	6.021935757975274e-09	9.024646311254904e-10	0.8123680800199509
14652	0.1877383142709732	Helix	0.13015238307416438	0	0	5.658612849190252e-08	1.0988210014664835e-08	0.8122616857290268
4912	0.18787931402524313	Domain: Pyruvate carboxyltransferase	0.18787931402524313	0	0	2.193676420183532e-08	3.796282454601417e-09	0.8121206859747568
8063	0.18835328333079815	Region: Disordered	0.11803275781373183	0	0	4.54258222082432e-07	4.437758210396844e-07	0.8116467166692019
14826	0.18964633345603943	Beta strand	0.18964633345603943	0	0	6.014690012429729e-07	1.955419218469973e-07	0.8103536665439606
14432	0.1900120973587036	Binding site: FAD	0.1900120973587036	0	0	8.711826323623514e-09	2.285456887243928e-09	0.8099879026412964
10152	0.1907158037647605	Binding site: ATP	0.1907158037647605	0	0	2.0692525471503644e-07	5.6860701411563425e-08	0.8092841962352395
12419	0.19376277923583984	Beta strand	0.16694788340479136	0	0	2.0188192962343822e-06	6.022647546895931e-07	0.8062372207641602
