feature_id	best_auprc	best_annot	mean_auprc_all	n_annots_above_03	n_annots_above_05	feat_mean_act	feat_variance	mystery_score
6995	0.9996081656152076	Domain: MGS-like	0.3304946872855479	172	91	0.04896960429765319	0.018097908580739827	0.00039183438479239996
8385	0.9996081656152076	Domain: MGS-like	0.3337514785837607	168	90	0.052480473219705025	0.021583335478166876	0.00039183438479239996
12848	0.9996165862450233	Domain: MGS-like	0.32306200066485435	165	88	0.07901575744304117	0.0409493070597977	0.0003834137549767469
13334	0.9996165862450233	Domain: MGS-like	0.32910635316509823	174	92	0.04884950376837349	0.023397828229637072	0.0003834137549767469
5986	0.9996165862450233	Domain: MGS-like	0.3598808296954185	183	103	0.11630132896530351	0.09443141269410174	0.0003834137549767469
15339	0.9996165862450233	Domain: MGS-like	0.327039750602981	169	91	0.10399049077429874	0.0770666717854426	0.0003834137549767469
14606	0.9996247068866269	Domain: MGS-like	0.3504713244378024	181	99	0.09961031263447775	0.061467694228286546	0.00037529311337314297
12040	0.9996247068866269	Domain: MGS-like	0.32498490787138523	150	76	0.15599735829521133	0.10331191896074413	0.00037529311337314297
1652	0.9996247068866269	Domain: MGS-like	0.32771740043612335	144	84	0.13359497086498226	0.11434890364347579	0.00037529311337314297
4208	0.9996247068866269	Domain: MGS-like	0.31966126798779027	167	92	0.20050765824030742	0.22740182649584886	0.00037529311337314297
10060	0.9996311625281533	Domain: MGS-like	0.26523477101944953	119	57	1.7685306548001372	0.6346028996673629	0.0003688374718466836
36	0.999632545879909	Domain: MGS-like	0.33812712104744996	174	97	0.13362129689269645	0.11120687292007937	0.000367454120090982
12887	0.999632545879909	Domain: MGS-like	0.3672272362498832	196	117	0.14839180983798675	0.0656002837574576	0.000367454120090982
5591	0.999632545879909	Domain: MGS-like	0.35051790574119057	166	97	0.05236970943134547	0.03904153835304764	0.000367454120090982
13428	0.999632545879909	Domain: MGS-like	0.3413932563770232	157	83	0.12536786969067718	0.09475150020695403	0.000367454120090982
1705	0.999632545879909	Domain: MGS-like	0.33512738770844874	175	99	0.15882069573197183	0.10768935947569858	0.000367454120090982
477	0.9996401254947369	Domain: MGS-like	0.36944022933858783	192	114	0.14287800834382178	0.060666434860752544	0.0003598745052630914
3752	0.9996401254947369	Domain: MGS-like	0.3372877455038359	150	78	0.12103644177402707	0.10028022526563402	0.0003598745052630914
14612	0.999644297846528	Region: Amidoligase domain	0.32787508591713893	149	75	0.003242961812185567	0.0008383761666858514	0.00035570215347202616
11541	0.9996474588310326	Domain: MGS-like	0.33928929214849024	182	101	0.13047378117998687	0.058027595743054876	0.00035254116896743515
8227	0.9996474588310326	Domain: MGS-like	0.32411120552824313	145	83	0.14395497238869517	0.11143887520132165	0.00035254116896743515
9213	0.9996474588310326	Domain: MGS-like	0.33776509545478545	169	87	0.04902215005151064	0.019554535682945004	0.00035254116896743515
15081	0.9996545642286867	Domain: MGS-like	0.3367521635376272	171	96	0.16721043468629088	0.1414419332357713	0.00034543577131329606
16187	0.9996545642286867	Domain: MGS-like	0.3226840623565565	170	95	0.28980745323693113	0.315301867252791	0.00034543577131329606
5645	0.9996545642286867	Domain: MGS-like	0.3382402652152737	158	85	0.1518009260406362	0.11316430038911271	0.00034543577131329606
2050	0.9996545642286867	Domain: MGS-like	0.3428398765600948	166	88	0.05277303224622713	0.02843849841279414	0.00034543577131329606
1179	0.9996545642286867	Domain: MGS-like	0.3303490229893499	147	74	0.2065767053349857	0.1850531473881101	0.00034543577131329606
2625	0.9996614541326251	Domain: MGS-like	0.37089207499176124	194	120	0.1727649349676504	0.09833012102197605	0.00033854586737491754
11368	0.9996614541326251	Domain: MGS-like	0.3362926170678196	180	101	0.1677283681019855	0.13561421535196694	0.00033854586737491754
