feature_id	best_auprc	best_annot	best_or	mean_auprc_all	n_annots_above_03	n_annots_above_05	mystery_score
6709	0.9971522064512977	Domain: CN hydrolase	113.17048403475121	0.332005435485627	259	155	0.0028477935487023487
7942	0.9971663789999176	Domain: SMP-LTD	45.76755734216127	0.31230607390938797	253	138	0.0028336210000824424
2746	0.9971937863372625	Domain: SMP-LTD	68.82857142857142	0.30178739394486537	237	127	0.002806213662737478
4480	0.9972315227317025	Region: Interaction with TCF3	196.0229705037849	0.35123085592677	273	165	0.0027684772682975423
1933	0.997326646532037	Domain: CN hydrolase	391.5289166440402	0.34455402443776956	263	164	0.0026733534679630466
2202	0.9973811501108676	Region: Interaction with TCF3	105.38065576606972	0.29095536291289126	234	114	0.002618849889132413
1307	0.9974916360468341	Domain: SMP-LTD	94.9075500770416	0.3580921439078699	278	167	0.002508363953165893
1867	0.9974944987470651	Region: Interaction with TCF3	738.8290337635349	0.33947238324876866	259	156	0.0025055012529349163
2656	0.9974956502876611	Domain: CN hydrolase	71.07010498432525	0.2777859905027254	222	100	0.002504349712338927
5127	0.9974978959950248	Region: Interaction with TCF3	147.50629722921914	0.35405488907782934	271	169	0.002502104004975192
645	0.997513532368106	Region: Interaction with TCF3	97.0	0.2949378588839046	244	118	0.002486467631893974
7310	0.997532386321755	Region: Interaction with TCF3	135.705074875208	0.34098613590224885	264	161	0.0024676136782449953
4720	0.9975373127048514	Domain: CN hydrolase	76.69686257180733	0.28250985888483204	228	107	0.0024626872951486467
5256	0.9975458016150263	Domain: DegV	156.75714698989427	0.29370986190990434	238	124	0.002454198384973738
6398	0.9975571601381542	Region: Interaction with TCF3	185.51847133757963	0.3215730130293839	259	137	0.0024428398618457914
7600	0.9975788878078262	Domain: CN hydrolase	539.8123671610944	0.338204877240433	269	158	0.00242111219217378
4067	0.9976456140951507	Domain: SMP-LTD	116.57482664794172	0.31900495327715606	248	140	0.0023543859048492655
4063	0.9976998101690273	Domain: CN hydrolase	395.45692410133114	0.3315074261630886	254	154	0.0023001898309726876
1416	0.9977289109942559	Region: Interaction with TCF3	192.97580733211473	0.29507617078671966	233	122	0.0022710890057441313
2394	0.9978247739954531	Region: Interaction with TCF3	47.242557227717576	0.3122789922919117	252	134	0.002175226004546893
16	0.9978276240586273	Region: Interaction with TCF3	129.34546136534132	0.32833387329105135	251	153	0.0021723759413726507
2065	0.9978710396829219	Region: Interaction with TCF3	158.13854489164086	0.34431125828479525	259	165	0.002128960317078099
2490	0.9978951306642481	Domain: CN hydrolase	278.4634683844719	0.34604109028800384	270	163	0.0021048693357519355
8152	0.997923219061875	Domain: DegV	179.69973190348526	0.34124156526228944	264	159	0.0020767809381250224
7223	0.9979718985343204	Domain: CN hydrolase	126.74509803921569	0.2765241629866495	225	103	0.002028101465679555
8007	0.9979822533334503	Region: Interaction with TCF3	778.3205229788153	0.341910077882437	267	165	0.0020177466665497468
150	0.9980090705141187	Domain: CN hydrolase	115.15411496574023	0.3310844557302354	255	149	0.00199092948588131
364	0.9980140532248404	Region: Interaction with TCF3	51.536842105263155	0.2982296266841962	243	128	0.0019859467751596194
7807	0.9980179688688002	Region: Interaction with TCF3	70.27134146341463	0.32084275688031166	245	142	0.0019820311311997685
6515	0.9980431322572764	Region: Interaction with TCF3	76.02080924855491	0.3231802636980949	256	151	0.0019568677427236336
6586	0.9980507633585672	Domain: SMP-LTD	215.44303797468353	0.31016845228078915	243	133	0.001949236641432761
8084	0.9980741374797621	Region: Interaction with TCF3	138.68259029390626	0.3182565961157459	255	135	0.0019258625202378532
3985	0.9980836147361639	Domain: CN hydrolase	102.1272116644823	0.34404440351159415	268	160	0.0019163852638360845
4285	0.9980837839901924	Domain: CN hydrolase	151.40078843626807	0.3330090932083802	258	153	0.0019162160098076253
